Generation,TotalOrganisms,AverageFitness,FitnessVariance,SelectedGenes,NeutralGenes,NeutralDiversity,SelectedDiversity
290,1000,1.025772,0.001285,3000,7000,0.000000,0.000000
291,1000,1.026145,0.001313,3000,7000,0.000000,0.000000
292,1000,1.026515,0.001362,3000,7000,0.000000,0.000000
293,1000,1.025237,0.001342,3000,7000,0.000000,0.000000
294,1000,1.024138,0.001344,3000,7000,0.000000,0.000000
295,1000,1.024420,0.001331,3000,7000,0.000000,0.000000
296,1000,1.025704,0.001409,3000,7000,0.000000,0.000000
297,1000,1.026162,0.001457,3000,7000,0.000000,0.000000
298,1000,1.026319,0.001436,3000,7000,0.000000,0.000000
299,1000,1.027777,0.001418,3000,7000,0.000000,0.000000
300,1000,1.028327,0.001519,3000,7000,0.000000,0.000000
301,1000,1.028867,0.001453,3000,7000,0.000000,0.000000
302,1000,1.029805,0.001375,3000,7000,0.000000,0.000000
303,1000,1.028353,0.001312,3000,7000,0.000000,0.000000
304,1000,1.029964,0.001300,3000,7000,0.000000,0.000000
305,1000,1.030005,0.001357,3000,7000,0.000000,0.000000
306,1000,1.029569,0.001282,3000,7000,0.000000,0.000000
307,1000,1.028875,0.001311,3000,7000,0.000000,0.000000
308,1000,1.029503,0.001315,3000,7000,0.000000,0.000000
309,1000,1.029491,0.001300,3000,7000,0.000000,0.000000
310,1000,1.029652,0.001285,3000,7000,0.000000,0.000000
311,1000,1.029700,0.001287,3000,7000,0.000000,0.000000
312,1000,1.030016,0.001265,3000,7000,0.000000,0.000000
313,1000,1.030191,0.001238,3000,7000,0.000000,0.000000
314,1000,1.030898,0.001234,3000,7000,0.000000,0.000000
315,1000,1.031249,0.001246,3000,7000,0.000000,0.000000
316,1000,1.031278,0.001224,3000,7000,0.000000,0.000000
317,1000,1.031373,0.001218,3000,7000,0.000000,0.000000
318,1000,1.031727,0.001199,3000,7000,0.000000,0.000000
319,1000,1.032200,0.001279,3000,7000,0.000000,0.000000
320,1000,1.032807,0.001214,3000,7000,0.000000,0.000000
321,1000,1.033420,0.001250,3000,7000,0.000000,0.000000
322,1000,1.034022,0.001306,3000,7000,0.000000,0.000000
323,1000,1.034065,0.001176,3000,7000,0.000000,0.000000
324,1000,1.035030,0.001186,3000,7000,0.000000,0.000000
325,1000,1.033977,0.001219,3000,7000,0.000000,0.000000
326,1000,1.034391,0.001269,3000,7000,0.000000,0.000000
327,1000,1.034607,0.001327,3000,7000,0.000000,0.000000
328,1000,1.034410,0.001367,3000,7000,0.000000,0.000000
329,1000,1.033496,0.001391,3000,7000,0.000000,0.000000
330,1000,1.035139,0.001482,3000,7000,0.000000,0.000000
331,1000,1.036706,0.001449,3000,7000,0.000000,0.000000
332,1000,1.037309,0.001456,3000,7000,0.000000,0.000000
333,1000,1.037063,0.001461,3000,7000,0.000000,0.000000
334,1000,1.037196,0.001468,3000,7000,0.000000,0.000000
335,1000,1.037136,0.001517,3000,7000,0.000000,0.000000
336,1000,1.036816,0.001557,3000,7000,0.000000,0.000000
337,1000,1.037833,0.001653,3000,7000,0.000000,0.000000
338,1000,1.037219,0.001637,3000,7000,0.000000,0.000000
339,1000,1.038256,0.001639,3000,7000,0.000000,0.000000
340,1000,1.039817,0.001706,3000,7000,0.000000,0.000000
341,1000,1.040530,0.001743,3000,7000,0.000000,0.000000
342,1000,1.041261,0.001781,3000,7000,0.000000,0.000000
343,1000,1.040400,0.001702,3000,7000,0.000000,0.000000
344,1000,1.040277,0.001668,3000,7000,0.000000,0.000000
345,1000,1.040818,0.001679,3000,7000,0.000000,0.000000
346,1000,1.041199,0.001802,3000,7000,0.000000,0.000000
347,1000,1.040609,0.001816,3000,7000,0.000000,0.000000
348,1000,1.039991,0.001818,3000,7000,0.000000,0.000000
349,1000,1.038807,0.001726,3000,7000,0.000000,0.000000
350,1000,1.039602,0.001710,3000,7000,0.000000,0.000000
351,1000,1.040168,0.001640,3000,7000,0.000000,0.000000
352,1000,1.040257,0.001771,3000,7000,0.000000,0.000000
353,1000,1.040312,0.001760,3000,7000,0.000000,0.000000
354,1000,1.040889,0.001713,3000,7000,0.000000,0.000000
355,1000,1.041246,0.001717,3000,7000,0.000000,0.000000
356,1000,1.041528,0.001717,3000,7000,0.000000,0.000000
357,1000,1.040923,0.001695,3000,7000,0.000000,0.000000
358,1000,1.042306,0.001792,3000,7000,0.000000,0.000000
359,1000,1.042238,0.001824,3000,7000,0.000000,0.000000
360,1000,1.043148,0.001870,3000,7000,0.000000,0.000000
361,1000,1.042212,0.001839,3000,7000,0.000000,0.000000
362,1000,1.042421,0.001764,3000,7000,0.000000,0.000000
363,1000,1.042007,0.001728,3000,7000,0.000000,0.000000
364,1000,1.043414,0.001908,3000,7000,0.000000,0.000000
